scenario_name,total_surgeries,num_surgeons,num_days,num_ors,successful_surgeries,unscheduled_surgeries_ids,unscheduled_reason,runtime_sec,optimization_status
surg_6_days_4_ors_7,50,6,4,7,48,"[24, 26]",Not selected by optimizer (due to resource constraints or optionality),0.9878339767456055,Optimal
surg_6_days_5_ors_3,50,6,5,3,42,"[33, 38, 6, 41, 44, 48, 18, 26]",Not selected by optimizer (due to resource constraints or optionality),1.0078837871551514,Optimal
surg_6_days_5_ors_4,50,6,5,4,49,[47],Not selected by optimizer (due to resource constraints or optionality),1.0210299491882324,Optimal
surg_6_days_5_ors_5,50,6,5,5,50,[],N/A,1.0307130813598633,Optimal
surg_6_days_5_ors_6,50,6,5,6,50,[],N/A,1.002561092376709,Optimal
surg_6_days_5_ors_7,50,6,5,7,48,"[33, 3]",Not selected by optimizer (due to resource constraints or optionality),1.0827479362487793,Optimal
surg_6_days_6_ors_3,50,6,6,3,50,[],N/A,1.0650317668914795,Optimal
surg_6_days_6_ors_4,50,6,6,4,49,[13],Not selected by optimizer (due to resource constraints or optionality),1.1078169345855713,Optimal
surg_6_days_6_ors_5,50,6,6,5,50,[],N/A,1.059319019317627,Optimal
surg_6_days_6_ors_6,50,6,6,6,50,[],N/A,1.0672941207885742,Optimal
surg_6_days_6_ors_7,50,6,6,7,50,[],N/A,1.065385103225708,Optimal
surg_6_days_7_ors_3,50,6,7,3,50,[],N/A,1.1830132007598877,Optimal
surg_6_days_7_ors_4,50,6,7,4,50,[],N/A,1.1699788570404053,Optimal
surg_6_days_7_ors_5,50,6,7,5,50,[],N/A,1.1823220252990723,Optimal
surg_6_days_7_ors_6,50,6,7,6,50,[],N/A,1.1609699726104736,Optimal
surg_6_days_7_ors_7,50,6,7,7,50,[],N/A,1.186736822128296,Optimal
surg_7_days_4_ors_3,50,7,4,3,41,"[1, 34, 35, 13, 47, 16, 48, 28, 29]",Not selected by optimizer (due to resource constraints or optionality),1.0130341053009033,Optimal
surg_7_days_4_ors_4,50,7,4,4,48,"[18, 37]",Not selected by optimizer (due to resource constraints or optionality),1.003767967224121,Optimal
surg_7_days_4_ors_5,50,7,4,5,45,"[32, 39, 41, 44, 19]",Not selected by optimizer (due to resource constraints or optionality),1.1050608158111572,Optimal
surg_7_days_4_ors_6,50,7,4,6,49,[12],Not selected by optimizer (due to resource constraints or optionality),1.022392988204956,Optimal
surg_7_days_4_ors_7,50,7,4,7,44,"[43, 44, 13, 48, 27, 29]",Not selected by optimizer (due to resource constraints or optionality),1.0019090175628662,Optimal
surg_7_days_5_ors_3,50,7,5,3,49,[23],Not selected by optimizer (due to resource constraints or optionality),1.0286858081817627,Optimal
surg_7_days_5_ors_4,50,7,5,4,50,[],N/A,1.0169670581817627,Optimal
surg_7_days_5_ors_5,50,7,5,5,48,"[43, 15]",Not selected by optimizer (due to resource constraints or optionality),1.004868984222412,Optimal
surg_7_days_5_ors_6,50,7,5,6,46,"[35, 10, 27, 29]",Not selected by optimizer (due to resource constraints or optionality),1.0035440921783447,Optimal
surg_7_days_5_ors_7,50,7,5,7,50,[],N/A,1.004615068435669,Optimal
surg_7_days_6_ors_3,50,7,6,3,50,[],N/A,1.0448439121246338,Optimal
surg_7_days_6_ors_4,50,7,6,4,50,[],N/A,1.0911550521850586,Optimal
surg_7_days_6_ors_5,50,7,6,5,50,[],N/A,1.041815996170044,Optimal
surg_7_days_6_ors_6,50,7,6,6,50,[],N/A,1.0285980701446533,Optimal
surg_7_days_6_ors_7,50,7,6,7,49,[32],Not selected by optimizer (due to resource constraints or optionality),1.0299501419067383,Optimal
surg_7_days_7_ors_3,50,7,7,3,48,"[13, 38]",Not selected by optimizer (due to resource constraints or optionality),1.1468608379364014,Optimal
surg_7_days_7_ors_4,50,7,7,4,50,[],N/A,1.2041289806365967,Optimal
surg_7_days_7_ors_5,50,7,7,5,49,[12],Not selected by optimizer (due to resource constraints or optionality),1.2088408470153809,Optimal
surg_7_days_7_ors_6,50,7,7,6,49,[24],Not selected by optimizer (due to resource constraints or optionality),1.172098159790039,Optimal
surg_7_days_7_ors_7,50,7,7,7,50,[],N/A,1.156322956085205,Optimal
